"property_id","price"
"d56159653f5d2abc5ed5acd7",495826848
"45550aa81c0151f1fd9fd8fe",751034944
"735deef3382aa15930482f3e",705064832
"0dd49fa8bb7be52b851c6dc9",611290176
"7d3220a91e78f8bc2924d1cd",674702208
"d3054072b2175deec2c1f8dc",207959584
"b7574b06d593fca4eac59815",176628000
"79e822115c5c1a4531366001",361808032
"d3ed5316a463d38c1bd321d0",815971712
"2f1880c9b8f7ac2715e1236d",658429312
"dcca1c7f109175760ff531c6",637604608
"dfc4f3facf91bbd93ee0fa4d",436898400
"30e134a6cbe61d7954d0f56b",327058240
"385fee7bd9ad7722d45dd034",473715328
"87199c236bf22903d1aafdd0",499738048
"19e19ad0cd6b5e84d8aa970e",388787232
"907f968e78d748fde69dd44f",752066304
"be094e5db0f784e3aa013aae",423554752
"7ab96f83915bc84f8c03c1bd",332721888
"07f4aa9b9ff5b0b05d31e6c0",797469696
"e9be8cd37abed8ab510ba1f5",589336000
"5f6ad58df27b562db077b5ce",498997504
"ee96d947484aaace40f9b77f",493533888
"15c4aef8401208054697b81e",1435118336
"22d6cb11333f2839b8112b89",1032989248
"288c09c33907dadbae495c11",1313069952
"f71d2bca0c5fe2720a1544c4",384737632
"451744cf3ce55a98db8a3562",453435968
"fba9ae05a6a8a9e0c6268a9f",407626624
"1338e58f7dcebf5a1ea59388",384901984
"a817e8da0ada143ac87277ee",554788800
"46d8bb3e9a0ca584d3c7a317",518699712
"b2506aa9463aebf01e1e00ca",267339248
"7ec025b9b6e6f33bf65af41b",472770976
"2ff531e27672ecd2362eed55",682808000
"9b3cf0d1b91b9c6a2a887647",473015040
"7db5291ce4602d9b2b266872",805455360
"65d5918e826c33bb950fc008",545057920
"395c34e4b8f52cbdb0522459",469013120
"855f4b67d2bd6d18fd03d8e7",575188160
"9ff06409b37e5b5dece4604a",1005762624
"0508cd7bd2c77ebb6fea1e56",639140416
"b45fff2e718e54772d46a3fd",607744448
"cf4d2297b73dbc357d21e31b",684899136
"0ada7044c5b29925abc90879",582708480
"6305f02255274ab5fb6bd39c",616966144
"d9a94194ae1350512beff3e6",803494400
"e3896296cb80d50d9ad3f903",619889216
"6514f355887c64136edb5595",823092224
"f03400cc18e12903b3ffbe5a",579273792
"4e134600155a64783b3f8c3e",457076128
"d63ebc63c82fbf66d8b6ffd3",780286080
"1bd64811bd59706844230198",453483264
"a83921284639eedd4a511cb6",647370816
"a2f3f7a1cd573e2a33f52e2d",736114752
"47344a66471fa51f61c64652",673767552
"78fd849c9429091347d7e5c9",667530240
"c3daf2abea55af99c9579319",464907648
"52864916eb1984abca41ec66",772927488
"c62494a9d7aede44f2f84023",793923328
"a2b576643f7a032371587e5e",752705792
"e53bc68f0e97ccead24f3e56",549981440
