"property_id","price"
"d56159653f5d2abc5ed5acd7",782081408
"45550aa81c0151f1fd9fd8fe",1120859392
"735deef3382aa15930482f3e",619518272
"0dd49fa8bb7be52b851c6dc9",827232064
"7d3220a91e78f8bc2924d1cd",903972800
"d3054072b2175deec2c1f8dc",481157984
"b7574b06d593fca4eac59815",461014816
"79e822115c5c1a4531366001",259188304
"d3ed5316a463d38c1bd321d0",1220757760
"2f1880c9b8f7ac2715e1236d",1051410496
"dcca1c7f109175760ff531c6",886647168
"dfc4f3facf91bbd93ee0fa4d",654609920
"30e134a6cbe61d7954d0f56b",573928704
"385fee7bd9ad7722d45dd034",623466560
"87199c236bf22903d1aafdd0",546930240
"19e19ad0cd6b5e84d8aa970e",597251840
"907f968e78d748fde69dd44f",885047104
"be094e5db0f784e3aa013aae",584756160
"7ab96f83915bc84f8c03c1bd",520891776
"07f4aa9b9ff5b0b05d31e6c0",748837184
"e9be8cd37abed8ab510ba1f5",1200751616
"5f6ad58df27b562db077b5ce",706008960
"ee96d947484aaace40f9b77f",911944128
"15c4aef8401208054697b81e",1315009536
"22d6cb11333f2839b8112b89",1238735488
"288c09c33907dadbae495c11",1378648192
"f71d2bca0c5fe2720a1544c4",543651520
"451744cf3ce55a98db8a3562",497982176
"fba9ae05a6a8a9e0c6268a9f",544691072
"1338e58f7dcebf5a1ea59388",531625152
"a817e8da0ada143ac87277ee",575908352
"46d8bb3e9a0ca584d3c7a317",555948928
"b2506aa9463aebf01e1e00ca",455155840
"7ec025b9b6e6f33bf65af41b",729508736
"2ff531e27672ecd2362eed55",851729728
"9b3cf0d1b91b9c6a2a887647",720459392
"7db5291ce4602d9b2b266872",682274368
"65d5918e826c33bb950fc008",663329024
"395c34e4b8f52cbdb0522459",829232256
"855f4b67d2bd6d18fd03d8e7",463224896
"9ff06409b37e5b5dece4604a",685106816
"0508cd7bd2c77ebb6fea1e56",866066880
"b45fff2e718e54772d46a3fd",708850880
"cf4d2297b73dbc357d21e31b",468164608
"0ada7044c5b29925abc90879",770781184
"6305f02255274ab5fb6bd39c",734200512
"d9a94194ae1350512beff3e6",765594944
"e3896296cb80d50d9ad3f903",1281647744
"6514f355887c64136edb5595",857156800
"f03400cc18e12903b3ffbe5a",738076480
"4e134600155a64783b3f8c3e",774898944
"d63ebc63c82fbf66d8b6ffd3",771541504
"1bd64811bd59706844230198",1028578176
"a83921284639eedd4a511cb6",716810048
"a2f3f7a1cd573e2a33f52e2d",708385344
"47344a66471fa51f61c64652",643976192
"78fd849c9429091347d7e5c9",673049984
"c3daf2abea55af99c9579319",748285568
"52864916eb1984abca41ec66",950981504
"c62494a9d7aede44f2f84023",1082240000
"a2b576643f7a032371587e5e",1042623488
"e53bc68f0e97ccead24f3e56",667789504
"fd82c710aad91bc90af490fe",957227904
"d436abc2ee37ba3dd561e940",643730112
"216a598114a403676011cb51",769869632
"ea230d5eccd2b687888173bb",942419200
"18bd0dd7580f2a7cb19a90b9",332907168
"b143c8ca6d334f6a73c3f2a0",399182656
"ab388cb4fa511968783bafee",700789248
"6a4f08cd04d558a56af732d9",591672896
"7216c895aa047c4f405c4941",675977984
"a493488dcd906dc74cf8a604",908963968
"7844b0b2bc65dced90a355c6",1044887040
"c1976383069b6b82ab29d092",399943200
"e5cfd99e2308b7b73581dbdc",751474752
"c18c2ea88f4ac53970b53d2c",605719296
"842c9f0e4edf1e5a672ce15e",1109173504
"7dd1e46dcbddc6bf5ef694de",532884160
"6cc4f32b39180bd1ec7e117b",1068126016
"79e643789a85dc4ffad49a25",886194304
"b3402a9173d289d6db78e09d",1166745856
"a446507813234e358db8b573",688736128
"c8ef57ddfb35061d1876f94e",613384768
"360be0df2c003005e3db080e",970721792
"9ab245a4c91877cb7a8661ce",1368182528
"a57a34c7486e7a40e8deb316",1040753792
"ceba7d0f56f6cb03538962fb",964359360
"d5475993f9db58c3e4baf7a3",990700544
"d37a1dda09e30da13ff5bfc3",840785344
"68a8b8d077a8232723bf37e9",706008960
"e1eea7716ca6490b7640717a",847983808
"4ae6d75b10848d259ecba576",740019456
"17afbce5c0b56732abbea936",1088741376
"84a2673eccd3cf3bd7fd3eb0",950981504
"f2f4e6cbafe527b155707f01",1134360704
"de2e3a592cda5b76c9573c5c",1042666496
"fac651cf404a58f24dc7d286",1133355776
"e6f312a0877af26b69855a3d",1104173440
"333a643c623a9bc75f3a40f2",1238696320
"64593641e470908ef23b46cb",1067957696
"ce9f2f0071be658ae75ca6f9",830038272
"9ab385e399a4673732b6a799",941670400
"3429c774b736cefc051e2c55",901094848
"a51ad0372758b2bbfe73f8fd",751556608
"8c801a266256e3fbabe7e3d2",691566272
"ca2f81b8fb6fda20aefb0ccb",1006861312
"3c1b1f86087f9b99380e387c",920710016
"b0cad5d612954b8cab18101c",926008192
"7eb991f4c69215377e4dac8f",1094653056
"0d130b8bea4321300396fa34",1193546624
"8dfa059401e1dca80ae65ae1",832669440
"3e3f264cd0ac7a65ed2349a2",1247447168
"112dce80bf512f3f24391d23",426943488
"ff25ded6333278149f8fb68f",879432448
"d555b82c192794e87e9d536f",684689984
"a787382d96ef9fce8f27bc70",1158070656
"8c3aa295f7bcfd9a43eb2037",1175140224
"13ac95652fb3cf6c43dafc66",454053632
"42fc6a80b882c32f6264ac10",649962560
"1e9c53e09220d689a0210ab9",662907968
"3348706086aa3db5c92259c3",704780288
"66d402a9b7d05f29282ddb00",822356480
"cf88be51d6f31c10e5868ff7",484586752
"30b3f38716be209a894b0942",672927552
"0a5908a92d0ba3e36f54b1f3",614337152
"dd206b6ea2d7f6555109ea39",716228736
"c641febd8bc2ece3e4d2d8b6",904674112
"c11fdc02a288af0572a2bca1",667874752
"35dc60a65969b264ab283d6d",771131712
"d9cb0f637cd4feaaaf8a21c0",804963328
"7e8dfae9a5f1faf8afa706f7",665516096
"a280fe7610c254b935c9dcfc",656652096
"85524880fdc4e4daf90e96fd",636090048
"f361109d06f6609c16724b39",663329024
"3f6b2f0c0876c21755369cb6",734200512
"de26819064a290ce78d8fcc1",657315264
"91be1260a84ab7fa3521c495",1320948608
"18c8dc4549d38c918af2972e",831025088
"782b0fb8641849c2c34291e6",646910976
"54933f8b33a4fd6f031ed5be",720233280
"953176c9a901b4f61c030432",629524992
"357e2add3d68167a4f3ce15e",853342592
"90332d50e91925eb9b614bef",893141440
"11723d1d472bf1a3fdd8b72c",780360640
"01f8b6799e2910f7769db175",981914624
"a0d5001f7dd42d7f0c91d2a9",577280128
"d4439c35bcb88e1490916c67",699905024
"4a73dad0ff8a5262e8b07c4b",1010402176
"3dd8085a65f24b497ea59557",765173376
"39ef085809bc80e32e7b6af6",883016832
"b98ee16e8fd7d1c75a9da13c",937804032
"16deb26bf740fa61e258f545",1010247360
"732a3bd457d7798e1fd892f6",785123072
"1376058cb128a1c7729cd2e9",803481664
"cac7e7c3e13af91bdc7107e8",833125504
"9f3dfa6e1422f6aeac527c61",643109504
"4dd3d1288ccb66ee4fb9c097",1185910400
"15fb97d6a43731d61e95d004",1043997824
"dac29573163315edf99e0e7a",704125696
"b93f2864087d41c3c92d43c3",1049977088
"cd4656aed92f5c0a0b6b7c0c",1049977088
"556210496090b42ac10cf1b8",1042623488
"762979729fb21e56a32ed14e",1042623488
"ea935b76abe664d5e2c4736f",663329024
"40e9ef1e7c6749b7a8d04ea9",512832608
"058265732a484ac8d5497f5c",614446464
"6f52ea8340cdd283f9a79720",898965376
"cafe7c1ee67458e05c84d5fb",734200512
"3f45ed2f08a2b03b738fbb5e",410726304
"f203b18854b75c4564d7a17d",868331712
"d5333f639d11bc3ab073ed72",919136704
"c14f644116669a160446a945",767494720
"de585856ff546e00a5a4672e",765920896
"7a80663cae7c191b5d025fa0",794643712
