"property_id","price"
"d56159653f5d2abc5ed5acd7",738505664
"45550aa81c0151f1fd9fd8fe",827439680
"735deef3382aa15930482f3e",633409408
"0dd49fa8bb7be52b851c6dc9",851941440
"7d3220a91e78f8bc2924d1cd",871912768
"d3054072b2175deec2c1f8dc",644721280
"b7574b06d593fca4eac59815",648684544
"79e822115c5c1a4531366001",362846848
"d3ed5316a463d38c1bd321d0",1242284672
"2f1880c9b8f7ac2715e1236d",933651328
"dcca1c7f109175760ff531c6",767997504
"dfc4f3facf91bbd93ee0fa4d",567639744
"30e134a6cbe61d7954d0f56b",456939040
"385fee7bd9ad7722d45dd034",469076832
"87199c236bf22903d1aafdd0",499859328
"19e19ad0cd6b5e84d8aa970e",605390528
"907f968e78d748fde69dd44f",734978624
"be094e5db0f784e3aa013aae",377139968
"7ab96f83915bc84f8c03c1bd",472257024
"07f4aa9b9ff5b0b05d31e6c0",1013119104
"e9be8cd37abed8ab510ba1f5",1051261056
"5f6ad58df27b562db077b5ce",784570176
"ee96d947484aaace40f9b77f",805874240
"15c4aef8401208054697b81e",1309170304
"22d6cb11333f2839b8112b89",1323785600
"288c09c33907dadbae495c11",1139217152
"f71d2bca0c5fe2720a1544c4",529983328
"451744cf3ce55a98db8a3562",498326048
"fba9ae05a6a8a9e0c6268a9f",621627456
"1338e58f7dcebf5a1ea59388",729919936
"a817e8da0ada143ac87277ee",548844608
"46d8bb3e9a0ca584d3c7a317",786435456
"b2506aa9463aebf01e1e00ca",602456704
"7ec025b9b6e6f33bf65af41b",784416256
"2ff531e27672ecd2362eed55",665583232
"9b3cf0d1b91b9c6a2a887647",554851264
"7db5291ce4602d9b2b266872",542641728
"65d5918e826c33bb950fc008",695923264
"395c34e4b8f52cbdb0522459",754988160
"855f4b67d2bd6d18fd03d8e7",605914560
"9ff06409b37e5b5dece4604a",623510592
"0508cd7bd2c77ebb6fea1e56",707019328
"b45fff2e718e54772d46a3fd",772845568
"cf4d2297b73dbc357d21e31b",526375840
"0ada7044c5b29925abc90879",736346368
"6305f02255274ab5fb6bd39c",908082368
"d9a94194ae1350512beff3e6",896327040
"e3896296cb80d50d9ad3f903",1025741888
"6514f355887c64136edb5595",1110807936
"f03400cc18e12903b3ffbe5a",722303232
"4e134600155a64783b3f8c3e",760460224
"d63ebc63c82fbf66d8b6ffd3",897387456
"1bd64811bd59706844230198",953141312
"a83921284639eedd4a511cb6",697279872
